State/UT,District,Temperature,Condition,Humidity,,
Andhra Pradesh,Anantapur,22.1,Clear,64,,
Andhra Pradesh,Chittoor,18.5,Clear,93,,
Andhra Pradesh,East Godavari,19.4,Clear,86,,
Andhra Pradesh,Guntur,22.3,Mist,88,,
Andhra Pradesh,Krishna,22.3,Mist,88,,
Andhra Pradesh,Kurnool,21.8,Clear,66,,
Andhra Pradesh,Prakasam,27,Sunny,61,,
Andhra Pradesh,Srikakulam,20.8,Clear,78,,
Andhra Pradesh,Visakhapatnam,23.3,Clear,67,,
Andhra Pradesh,Vizianagaram,19.9,Clear,77,,
Arunachal Pradesh,Tawang,0.2,Partly Cloudy,87,,
Arunachal Pradesh,West Kameng,24.4,Clear,37,,
Arunachal Pradesh,East Kameng,24.4,Clear,37,,
Arunachal Pradesh,Papum Pare,38.2,Sunny,23,,
Arunachal Pradesh,Kurung Kumey,-21.5,Light snow,93,,
Arunachal Pradesh,Kra Daadi,30.5,Clear,29,,
Arunachal Pradesh,Lower Subansiri,-7.8,Sunny,37,,
Arunachal Pradesh,Upper Subansiri,17.7,Mist,94,,
Arunachal Pradesh,West Siang,18.3,Clear,34,,
Arunachal Pradesh,East Siang,18.3,Clear,34,,
Assam,Baksa,12.8,Partly Cloudy,74,,
Assam,Barpeta,15.4,Clear,73,,
Assam,Biswanath,20.7,Clear,74,,
Assam,Bongaigaon,16.6,Clear,75,,
Assam,Cachar,27,Sunny,61,,
Assam,Charaideo,27,Sunny,61,,
Assam,Chirang,15.2,Patchy rain nearby,85,,
Assam,Darrang,18.9,Clear,64,,
Assam,Dhemaji,18.2,Mist,88,,
Assam,Dhubri,17.3,Clear,60,,
Bihar,Araria,15.8,Clear,52,,
Bihar,Arwal,15.2,Mist,94,,
Bihar,Aurangabad,21.3,Mist,73,,
Bihar,Banka,15.7,Clear,52,,
Bihar,Begusarai,14.5,Clear,57,,
Bihar,Bhagalpur,15.3,Clear,55,,
Bihar,Bhojpur,14.2,Clear,47,,
Bihar,Buxar,15.3,Clear,62,,
Bihar,Darbhanga,14.8,Clear,54,,
Bihar,East Champaran,19.4,Clear,86,,
Chhattisgarh,Balod,18.4,Clear,28,,
Chhattisgarh,Baloda Bazar,19.7,Clear,30,,
Chhattisgarh,Balrampur,15.7,Clear,56,,
Chhattisgarh,Bastar,18.2,Clear,32,,
Chhattisgarh,Bemetara,19.7,Clear,30,,
Chhattisgarh,Bijapur,24.4,Clear,29,,
